id,speaker,country,group,position,eurosceptic
0,bisky,de,sd,centreleft,False
1,callanan,gb,ecr,right,True
2,cohn-bendit,de,greens,left,False
3,crowley,ir,uen,right,True
4,daul,fr,epp,centreright,False
5,farage,gb,efdd,right,True
6,frassoni,it,greens,left,False
7,graaff,nl,enf,right,True
8,harms,de,greens,left,False
9,kamall,gb,ecr,right,True
10,kaminski,pl,ecr,right,True
11,lamberts,be,greens,left,False
12,muscardini,it,uen,right,True
13,schulz,de,sd,centreleft,False
14,sinnott,ir,indep,None,None
15,speroni,it,efdd,right,True
16,swoboda,at,sd,centreleft,False
17,verhofstadt,be,alde,centre,False
18,watson,gb,alde,centre,False
19,wurtz,fr,gue/ngl,left,True
20,zahradil,cz,ecr,right,True
21,zimmer,de,gue/ngl,left,True
22,borrelli,it,efdd,right,True
23,weber,de,epp,centreright,False
24,le_pen,fr,enf,right,True
25,pittella,it,sd,centreleft,False
